Region,Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Park Accepted,Sens?,Record Status,Occurrence,Occurrence Tags,Nativeness,Nativeness Tags,Abundance,NPS Tags,Park Tags,Internal Park Tags,References,Observations,Vouchers,ExternalLinks,T&E,State Status,Ozone,GRank,SRank
,YOSE,Yosemite National Park,Vascular Plant,6,Poales,Poaceae,205865,526423,Active,Poa fendleriana ssp. longiligula,muttongrass,,Accepted,No,Approved,Present,,Native,,Uncommon,,,,1,,,,,,,G5TNR,CA: SNR
,YOSE,Yosemite National Park,Vascular Plant,6,Poales,Poaceae,205233,524544,Active,Poa glauca ssp. rupicola,timberline bluegrass,,Accepted,No,Approved,Present,,Native,,Uncommon,,,,1,,2,,,,,G5T5,CA: SNR
,YOSE,Yosemite National Park,Vascular Plant,6,Poales,Poaceae,167546,507122,Active,Poa keckii,Keck's bluegrass,,Accepted,No,Approved,Present,,Native,,Uncommon,,,,1,,3,,,,,,
,YOSE,Yosemite National Park,Vascular Plant,6,Poales,Poaceae,205235,524545,Active,Poa leptocoma ssp. leptocoma,bog bluegrass,,Accepted,No,Approved,Present,,Native,,Rare,Management Priority,,,1,,5,,,,,G5T5?,CA: SNR
,YOSE,Yosemite National Park,Vascular Plant,6,Poales,Poaceae,148098,41146,Active,Poa nemoralis,"forest blue grass, wood bluegrass",,Accepted,No,Approved,Present,,Non-native,,Rare,,,,,,1,,,,,G5,CA: SNR
,YOSE,Yosemite National Park,Vascular Plant,6,Poales,Poaceae,292239,566071,Active,Poa pratensis ssp. pratensis,Kentucky bluegrass,,Accepted,No,Approved,Present,,Non-native,,Common,Management Priority,,,1,,12,,,,,G5T5,CA: SNR
,YOSE,Yosemite National Park,Vascular Plant,6,Poales,Poaceae,148107,41154,Active,Poa pringlei,Pringle's bluegrass,,Accepted,No,Approved,Present,,Native,,Uncommon,,,,1,,1,,,,,G3?,CA: SNR
,YOSE,Yosemite National Park,Vascular Plant,6,Poales,Poaceae,147354,41103,Active,Poa secunda,"big bluegrass, Sandberg bluegrass, Sandberg's bluegrass",,Undecided,No,In Review,,,,,,,,,,,1,,,,,G5,CA: SNR
,YOSE,Yosemite National Park,Vascular Plant,6,Poales,Poaceae,156564,-502730,Inactive,Poa secunda ssp. secunda,,,Accepted,No,Approved,Present,,Native,,Common,,,,1,,65,,,,,G5T5,
,YOSE,Yosemite National Park,Vascular Plant,6,Poales,Poaceae,167548,507123,Active,Poa stebbinsii,Stebbin's bluegrass,,Accepted,No,Approved,Present,,Native,,Uncommon,,,,1,,23,,,,,,
,YOSE,Yosemite National Park,Vascular Plant,6,Poales,Poaceae,171404,508133,Active,Poa wheeleri,Wheeler's bluegrass,,Accepted,No,Approved,Present,,Native,,Common,,,,1,,38,,,,,G5?,CA: SNR
,YOSE,Yosemite National Park,Vascular Plant,6,Poales,Poaceae,148130,41175,Active,Polypogon maritimus,Mediterranean rabbitsfoot grass,,Accepted,No,Approved,Present,,Non-native,,Rare,,,,,,1,,,,,GNR,CA: SNA
,YOSE,Yosemite National Park,Vascular Plant,6,Poales,Poaceae,148126,41171,Active,Polypogon monspeliensis,"annual rabbitsfoot grass, annual rabbit's-foot grass, rabbitfoot beardgrass, rabbitfoot grass, rabbitfoot polypogon, rabbitfootgrass, rabbit'sfootgrass",,Accepted,No,Approved,Present,,Non-native,,Rare,Management Priority,,,1,,2,,,,,GNR,CA: SNA
,YOSE,Yosemite National Park,Vascular Plant,6,Poales,Poaceae,159857,504637,Active,Pseudoroegneria spicata,"bluebunch wheatgrass, bluebunch-wheat grass",,Accepted,No,Approved,Not In Park,False Report,Native,,,,,,,,,,,,,G5,CA: SNR
,YOSE,Yosemite National Park,Vascular Plant,6,Poales,Poaceae,160754,504669,Active,Ptilagrostis kingii,Sierra false needlegrass,,Accepted,No,Approved,Present,,Native,,Uncommon,,,,1,,26,,,,,G3?,CA: SNR
,YOSE,Yosemite National Park,Vascular Plant,6,Poales,Poaceae,148159,41200,Active,Puccinellia nuttalliana,"Nuttall alkaligrass, Nuttall's alkaligrass",,Accepted,No,Approved,Present,,Native,,Rare,Management Priority,,,1,,1,,,,,G5,CA: SNR
,YOSE,Yosemite National Park,Vascular Plant,6,Poales,Poaceae,146010,42088,Active,Scribneria bolanderi,Scribner's grass,,Accepted,No,Approved,Present,,Native,,Uncommon,,,,1,,5,,,,,G4,CA: SNR
,YOSE,Yosemite National Park,Vascular Plant,6,Poales,Poaceae,146013,42090,Active,Secale cereale,"cereal rye, common rye, cultivated annual rye, cultivated rye, rye",,Accepted,No,Approved,Not In Park,Historical,Non-native,,,,,,,,1,,,,,GNR,CA: SNA
,YOSE,Yosemite National Park,Vascular Plant,6,Poales,Poaceae,162809,505192,Active,Setaria pumila,"cattail grass, yellow bristle grass, yellow bristlegrass",,Accepted,No,Approved,Present,,Non-native,,Uncommon,,,,1,,4,,,,,GNR,
,YOSE,Yosemite National Park,Vascular Plant,6,Poales,Poaceae,139244,41231,Active,Setaria viridis,"bottle grass, green bristle grass, green bristlegrass, green foxtail, pigeongrass, wild millet",,Accepted,No,Approved,Present,,Non-native,,Uncommon,,,,1,,6,,,,,GNR,CA: SNA
,YOSE,Yosemite National Park,Vascular Plant,6,Poales,Poaceae,162534,505538,Active,Torreyochloa erecta,spiked false mannagrass,,Accepted,No,Approved,Present,,Native,,Uncommon,,,,1,,7,,,,,G4G5,CA: SNR
,YOSE,Yosemite National Park,Vascular Plant,6,Poales,Poaceae,215311,531133,Active,Torreyochloa pallida var. pauciflora,pale false mannagrass,,Accepted,No,Approved,Present,,Native,,Uncommon,,,,1,,12,,,,,G5T5,CA: SNR
,YOSE,Yosemite National Park,Vascular Plant,6,Poales,Poaceae,204144,522927,Active,Trisetum canescens,tall trisetum,,Accepted,No,Approved,Present,,Native,,Uncommon,,,,1,,21,,,,,G5,CA: SNR
,YOSE,Yosemite National Park,Vascular Plant,6,Poales,Poaceae,139313,41294,Active,Trisetum spicatum,spike trisetum,,Accepted,No,Approved,Present,,Native,,Uncommon,,,,1,,55,,,,,G5,CA: SNR
,YOSE,Yosemite National Park,Vascular Plant,6,Poales,Poaceae,139334,41312,Active,Trisetum wolfii,"wolf trisetum, Wolf's trisetum",,Accepted,No,Approved,Present,,Native,,Uncommon,,,,1,,13,,,,,G4,CA: SNR
,YOSE,Yosemite National Park,Vascular Plant,6,Poales,Poaceae,146727,42237,Active,Triticum aestivum,"common wheat, wheat",,Accepted,No,Approved,Present,,Non-native,,Rare,,,,1,,2,,,,,GNR,CA: SNA
,YOSE,Yosemite National Park,Vascular Plant,6,Poales,Poaceae,146754,42261,Active,Vulpia bromoides,"brome fescue, brome six-weeks grass, desert fescue",,Accepted,No,Approved,Present,,Non-native,,Uncommon,Management Priority,,,1,,2,,,,,GNR,CA: SNA
,YOSE,Yosemite National Park,Vascular Plant,6,Poales,Poaceae,215513,530858,Active,Vulpia microstachys var. confusa,confusing fescue,,Accepted,No,Approved,Present,,Native,,Uncommon,,,,1,,9,,,,,G5T3T5,CA: SNR
,YOSE,Yosemite National Park,Vascular Plant,6,Poales,Poaceae,215518,530860,Active,Vulpia microstachys var. pauciflora,Pacific fescue,,Accepted,No,Approved,Present,,Native,,Common,,,,1,,7,,,,,G5T5,CA: SNR
,YOSE,Yosemite National Park,Vascular Plant,6,Poales,Poaceae,146756,42263,Active,Vulpia myuros,"foxtail fescue, rattail fescue, rat-tail fescue, rat-tailed fescue",,Undecided,No,In Review,,,,,,,,,,,2,,,,,G5,CA: SNA
,YOSE,Yosemite National Park,Vascular Plant,6,Poales,Poaceae,241539,541788,Active,Vulpia myuros var. hirsuta,,,Accepted,No,Approved,Present,,Non-native,,Uncommon,,,,,,8,,,,,,
,YOSE,Yosemite National Park,Vascular Plant,6,Poales,Poaceae,161966,-503060,Inactive,Vulpia myuros var. myuros,,,Accepted,No,Approved,Present,,Non-native,,Uncommon,,,,1,,4,,,,,,
,YOSE,Yosemite National Park,Vascular Plant,6,Poales,Typhaceae,147651,42318,Active,Sparganium angustifolium,"narrowleaf burr reed, narrowleaf burreed, narrowleaf bur-reed",,Accepted,No,Approved,Present,,Native,,Uncommon,,,,1,,17,,,,,G5,CA: SNR
,YOSE,Yosemite National Park,Vascular Plant,6,Poales,Typhaceae,666256,-743929,Active,Sparganium emersum ssp. emersum,emersed bur-reed,,Accepted,No,Approved,Probably Present,,Native,,,,,,,,7,,,,,,
,YOSE,Yosemite National Park,Vascular Plant,6,Poales,Typhaceae,168345,507177,Active,Sparganium natans,small bur-reed,,Accepted,No,Approved,Present,,Native,,Rare,Management Priority,,,,,5,,,,,G5,CA: S3
,YOSE,Yosemite National Park,Vascular Plant,6,Poales,Typhaceae,147660,42326,Active,Typha latifolia,"broadleaf cattail, cattail, common cattail",,Accepted,No,Approved,Present,,Native,,Rare,,,,1,,2,,,,,G5,CA: SNR
,YOSE,Yosemite National Park,Vascular Plant,6,Polypodiales,Blechnaceae,85425,17750,Active,Woodwardia fimbriata,"giant chain fern, giant chainfern",,Accepted,No,Approved,Present,,Native,,Uncommon,,,,1,,6,,,,,G5,CA: SNR
,YOSE,Yosemite National Park,Vascular Plant,6,Polypodiales,Dennstaedtiaceae,217047,529922,Active,Pteridium aquilinum var. pubescens,"eagle fern, hairy brackenfern, western bracken, western brackenfern",,Accepted,No,Approved,Present,,Native,,Common,Exploitation Concern,,,1,,6,,,,,G5T5,CA: SNR
,YOSE,Yosemite National Park,Vascular Plant,6,Polypodiales,Dryopteridaceae,78603,17521,Active,Dryopteris arguta,coastal woodfern,,Accepted,No,Approved,Present,,Native,,Common,,,,1,,18,,,,,G5,CA: SNR
,YOSE,Yosemite National Park,Vascular Plant,6,Polypodiales,Dryopteridaceae,79562,17535,Active,Dryopteris filix-mas,"male fern, male woodfern, malefern",,Accepted,No,Approved,Not In Park,False Report,Native,,,,,,,,,,,,,G5,CA: S2
,YOSE,Yosemite National Park,Vascular Plant,6,Polypodiales,Dryopteridaceae,81059,17682,Active,Polystichum imbricans ssp. imbricans,narrowleaf swordfern,,Accepted,No,Approved,Present,,Native,,Common,,,,1,,13,,,,,G4T4,CA: SNR
,YOSE,Yosemite National Park,Vascular Plant,6,Polypodiales,Dryopteridaceae,81081,17684,Active,Polystichum kruckebergii,Kruckeberg's hollyfern,,Accepted,No,Approved,Present,,Native,,Rare,,,,,,1,,RT,,,G4,CA: S4
,YOSE,Yosemite National Park,Vascular Plant,6,Polypodiales,Dryopteridaceae,158663,504530,Active,Polystichum munitum,western swordfern,,Accepted,No,Approved,Present,,Native,,Uncommon,,,,,,8,,,,,G5,CA: SNR
,YOSE,Yosemite National Park,Vascular Plant,6,Polypodiales,Polypodiaceae,75592,17231,Active,Polypodium californicum,California polypody,,Accepted,No,Approved,Present,,Native,,Uncommon,,,,1,,2,,,,,G5?,CA: SNR
,YOSE,Yosemite National Park,Vascular Plant,6,Polypodiales,Polypodiaceae,157676,504518,Active,Polypodium calirhiza,nested polypody,,Accepted,No,Approved,Probably Present,,Native,,,,,,,,2,,,,,G4?,CA: SNR
,YOSE,Yosemite National Park,Vascular Plant,6,Polypodiales,Polypodiaceae,75625,17234,Active,Polypodium glycyrrhiza,licorice fern,,Accepted,No,Approved,Not In Park,False Report,Native,,,,,,,,,,,,,G5,CA: SNR
,YOSE,Yosemite National Park,Vascular Plant,6,Polypodiales,Polypodiaceae,75636,17235,Active,Polypodium hesperium,western polypody,,Accepted,No,Approved,Present,,Native,,Uncommon,,,,1,,1,,,,,G5,CA: SNR
,YOSE,Yosemite National Park,Vascular Plant,6,Polypodiales,Pteridaceae,91244,181788,Active,Adiantum aleuticum,"Aleutian maidenhair, Aleutian maidenhair-fern, five-finger fern",,Accepted,No,Approved,Present,,Native,,Uncommon,,,,1,,8,,,,,G5?,CA: SNR
,YOSE,Yosemite National Park,Vascular Plant,6,Polypodiales,Pteridaceae,81013,17309,Active,Adiantum jordanii,"California maidenhair, California maidenhair fern",,Accepted,No,Approved,Present,,Native,,Uncommon,,,,1,,3,,,,,G4G5,CA: SNR
